id,lon,lat,name
1100372,7.724316,47.641473,"Steinen (Kr LÖ), Schwimmbad"
1100373,7.694528,47.642218,"Hauingen, Turnhalle"
1100374,7.694958,47.640026,"Hauingen, Wiesenbrücke"
1100375,7.692476,47.634258,"Brombach (LÖ), Zentrum"
1100376,7.686968,47.631469,"Brombach (LÖ), Friedhof"
1100377,7.772267,47.722923,"Sallneck, Ort"
1100378,7.806928,47.754844,Raich
1100379,7.815909,47.741261,"Langensee (Kr LÖ),ehem. Schule"
1100380,7.893246,47.782417,"Schönau (Schw), Buchen. Schule"
1100381,7.848911,47.703725,"Zell (Wiesental), Krankenhaus"
1100382,7.829955,47.649319,"Schopfheim, Wehrer Strasse"
1100383,7.845482,47.64745,"Schopfheim, Abzw. Eichen"
1100384,7.888498,47.647578,"Hasel, Abzweigung"
1100385,7.897893,47.653359,"Hasel, Dorfplatz"
1100386,7.695429,47.637075,"Lörrach-Brombach, Bahnhof"
1100387,7.824374,47.648454,"Schopfheim, Hebelstrasse"
1100388,7.838868,47.680355,"Hausen (LÖ), Tor-/Bergwerkstr."
1100389,7.84342,47.679253,"Hausen (LÖ), Autokabel"
1100402,7.730133,47.642919,"Steinen (Kr LÖ), Lörracherstr."
1100407,7.852108,47.708085,"Zell (Wiesental), RB Heizmann"
1100408,7.836289,47.717463,Adelsberg
1100409,7.821768,47.711322,"Gresgen, Rathaus"
1100411,7.906203,47.743192,"Häg-Ehrsberg, Ehrsberg"
1100412,7.918588,47.731824,"Häg-Ehrsberg, Hägermühle"
1100413,7.907964,47.729022,"Häg-Ehrsberg, Rohmatt"
1100414,7.879097,47.727643,"Mambach, Ort"
1100415,7.700135,47.590075,"Inzlingen, Schlossstrasse"
1100416,7.682839,47.629469,"Brombach (LÖ), Schöpflin-Siedl"
1100417,7.853703,47.707793,"Zell (Wiesental), Schönauerstr"
1100418,7.79896,47.726535,"Tegernau (Bd), Hauptschule"
1100419,7.698707,47.643894,"Hauingen, Ost"
1100421,7.89336,47.649815,"Hasel, Wegscheide"
1100422,7.949867,47.55637,"Bad Säckingen, Bahnhof"
1100423,7.941617,47.555495,"Bad Säckingen, Gloria-Theater"
1100424,7.932216,47.554146,"Bad Säckingen, Basler Str."
1100425,7.928086,47.551572,"Bad Säckingen, Jurastrasse"
1100426,7.914666,47.566109,"Wallbach (Baden), Kirche"
1100427,7.913035,47.571843,"Wallbach (Baden), Bündtenstr."
1100428,7.910764,47.580878,"Wehr-Brennet, Bahnhof"
1100429,7.91202,47.58643,"Brennet, Wehratalstrasse"
1100430,7.91403,47.592486,"Öflingen, Schule"
1100431,7.915783,47.599849,"Öflingen, Brühlstrasse"
1100432,7.915809,47.608862,"Wehr (D), Hölzle"
1100433,7.908077,47.615517,"Wehr (D), Enkendorfstr."
1100434,7.939915,47.804152,"Geschwend (Baden), Ortsmitte"
1100435,8.00522,47.752524,"Todtmoos, Mattenhof"
1100437,7.897153,47.727647,"Häg-Ehrsberg, Moosmatt"
1100441,7.853036,47.87214,"Münstertal (Schw), Lochmatte"
1100442,7.84504,47.883244,"Münstertal (Schw), Stohrenstr."
1100443,7.801802,47.865282,"Münstertal (Schw), St.Trudpert"
1100444,7.796598,47.860779,"Münstertal (Schw), Münster"
1100445,7.839029,47.877191,"Münstertal (Schw), Spielweg"
1100446,7.794549,47.842173,"Münstertal (Schw), Rotenbuck"
1100447,7.790038,47.85599,"Münstertal (Schw), A. Rathaus"
1100448,7.786855,47.815305,"Münstertal (Schw), Münsterhald"
1100449,7.808349,47.868977,"Münstertal (Schw), Krumlinden"
1100450,7.826365,47.876824,"Münstertal (Schw), Sonne"
1100453,7.593361,47.787647,"Auggen, Kronenplatz"
1100454,7.5777,47.754924,"Schliengen, Blankenhorn"
1100455,7.611131,47.809607,"Müllheim (D), Platanenallee"
1100456,7.61474,47.810019,"Müllheim (D), Kaiserbrunnen"
1100457,7.625956,47.80866,"Müllheim (D), Amtsgericht"
1100458,7.621533,47.80921,"Müllheim (D), Turnhalle"
1100463,7.791247,47.848828,"Münstertal (Schw), Neuhäuser"
1100464,7.59628,47.627885,"Eimeldingen, Bahnhof"
1100465,7.861095,47.849753,"Münstertal (Schw), Neuhof"
1100468,7.601251,47.797529,"Auggen, Lettenbuck"
1100469,7.597016,47.795102,"Auggen, WG"
1100470,7.595602,47.763524,"Mauchen, Berner"
1100471,7.584605,47.753028,"Schliengen, Altinger Strasse"
1100472,7.632366,47.75552,"Niedereggenen, Oberdorf"
1100473,7.62684,47.754306,"Niedereggenen, Unterdorf"
1100474,7.647163,47.756815,"Obereggenen, Rathaus"
1100475,7.603628,47.739702,"Schliengen, Liel Sonne"
1100476,7.653339,47.767753,"Schliengen, Schallsi. Kreuzung"
1100477,7.621237,47.793146,"Müllheim (D), Vögisheim"
1100478,7.623937,47.802158,"Müllheim (D), In den Weihern"
1100479,7.64147,47.773538,"Müllheim (D), Feldberg Kirche"
1100480,7.595159,47.787206,"Auggen, Rathaus"
1100481,7.657241,47.714008,"Kandern, Busbahnhof"
1100482,7.661806,47.714472,"Kandern, Blumenplatz"
1100483,7.671858,47.735986,"Sitzenkirch, Engel"
1100484,7.662796,47.743484,"Kandern, St.Johannisbreite"
1100487,7.594724,47.790476,"Auggen, Hochhaus"
1100488,7.607485,47.74162,"Schliengen, Liel Fambergstr."
1100489,7.642254,47.756757,"Obereggenen, WG"
1100490,7.629608,47.772911,"Müllheim (D), Gennenbach"
1100491,7.626924,47.804128,"Müllheim (D), Bürgerhaus Süd"
1100492,7.616195,47.809551,"Müllheim (D), Löfflerbrunnen"
1100501,7.780592,47.855144,"Münstertal (Schw), Bahnhof"
1100506,7.55299,47.772337,"Neuenburg (D), Eichacker"
